event_start,event_end,predicted_label,row_count,row_ids,avg_confidence,max_confidence,actual_label,notes
2026-07-14 13:13:01,2026-07-14 13:13:01,doorbell,1,[74],0.19077831506729126,0.19077831506729126,doorbell,
2026-07-14 13:13:06,2026-07-14 13:13:12,doorbell,5,"[75, 76, 77, 78, 79]",0.44592042565345763,0.5554064512252808,doorbell,
2026-07-14 13:13:29,2026-07-14 13:13:33,alarm,9,"[80, 81, 82, 83, 84, 85, 86, 87, 88]",0.8581795559989082,0.9879310727119446,alarm,"user reports 2-3 separate alarm sounds played back-to-back within this cluster -- boundary between them uncertain, needs manual split or caveat"
2026-07-14 13:14:05,2026-07-14 13:14:08,speech,4,"[89, 90, 91, 92]",0.9863328635692596,0.996683657169342,speech,
2026-07-14 13:14:30,2026-07-14 13:14:33,speech,2,"[93, 94]",0.4506770744919777,0.6687750220298767,speech,
2026-07-14 13:14:36,2026-07-14 13:14:39,dog_bark,3,"[95, 96, 97]",0.4433817168076833,0.672217607498169,dog_bark,
2026-07-14 13:14:44,2026-07-14 13:14:44,dog_bark,1,[98],0.8341008424758911,0.8341008424758911,dog_bark,
2026-07-14 13:15:09,2026-07-14 13:15:17,phone,7,"[99, 100, 101, 102, 103, 104, 105]",0.5647929389921349,0.9066748023033142,phone,"one continuous ringtone -- rows 102-103 transiently misclassified as alarm mid-event, not a separate false alarm"
